Station,Latitude,Longitude
Austin (Camp Mabry),30.307182,-97.755996
Dallas/Fort Worth International Airport,32.896828,-97.038001
Houston (George Bush Intercontinental Airport),29.990222,-95.336783
San Antonio International Airport,29.533694,-98.469779
El Paso International Airport,31.807222,-106.378056
Corpus Christi International Airport,27.770103,-97.501222
Midland International Air and Space Port,31.942497,-102.201914
Lubbock Preston Smith International Airport,33.663639,-101.822778
Amarillo International Airport,35.219361,-101.70593
Brownsville/South Padre Island International Airport,25.906833,-97.425861
McAllen Miller International Airport,26.175833,-98.238611
Tyler Pounds Regional Airport,32.354144,-95.402477
Waco Regional Airport,31.611289,-97.230519
Abilene Regional Airport,32.4113,-99.6819
Beaumont/Port Arthur Southeast Texas Regional Airport,29.9508,-94.0207
College Station Easterwood Field,30.5886,-96.3638
Denton Municipal Airport,33.2009,-97.1981
Del Rio International Airport,29.3742,-100.9272
Galveston Scholes International Airport,29.2653,-94.8609
Harlingen Valley International Airport,26.2285,-97.6544
Laredo International Airport,27.5437,-99.4615
Longview East Texas Regional Airport,32.3832,-94.7115
San Angelo Mathis Field,31.3577,-100.4963
Victoria Regional Airport,28.8526,-96.9185
Wichita Falls Municipal Airport,33.9888,-98.4919
Eagle Pass Maverick County Memorial International Airport,28.8571,-100.5173
Fort Stockton-Pecos County Airport,30.9154,-102.9177
Fredericksburg Gillespie County Airport,30.2435,-98.9094
Gainesville Municipal Airport,33.6514,-97.197
Kerrville Municipal Airport,30.0453,-99.1404
Lampasas Airport,31.1029,-98.1968
Mineral Wells Airport,32.7812,-98.0602
Paris Cox Field,33.6214,-95.4508
Pecos City Airport,31.3822,-103.5117
Rockport Aransas County Airport,28.0863,-97.0456
Sherman Municipal Airport,33.6183,-96.6214
Stephenville Clark Field,32.2168,-98.1773
Sweetwater Avenger Field,32.4674,-100.4688
Uvalde Garner Field,29.21,-99.7436
Vernon Wilbarger County Airport,34.2273,-99.2809
Winkler County Airport,31.777,-103.201
Yoakum County Airport,32.737,-102.6619
